#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 0이 아니면-강수) 
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202604201645    90  244.0    5.3  281.0    8.1  279.0    5.3   20.6    0.0    0.0    0.0    0.1    0.1   47.0 1000.9 1002.9    8.9
202604201645    92  280.0   10.1  300.0   15.9  270.0    8.5   19.4  -99.7    0.0    0.0    0.0    0.0   53.0  995.6 1003.2    9.6
202604201645    93  196.5    4.5  199.8    5.7  183.6    4.3   14.3    0.0    0.0    0.0    2.3    2.3   80.9  997.1 1008.4   11.1
202604201645    95  257.1    0.7  258.8    1.3  261.8    1.3   14.2    0.0    0.0    0.0    0.4    0.4   62.6  990.9 1009.3    7.2
202604201645    96  219.0    6.7  224.6   10.0  219.9    6.7   16.1  -99.2    0.0    0.0    0.0    0.0   91.9  994.4 1006.0   14.8
202604201645    98  242.2    4.2  208.3    6.8  259.1    4.1   14.7    0.0    0.0    0.0    0.5    0.5   36.5  996.0 1009.7   -0.0
202604201645    99  343.6    4.5  346.2    6.3  343.2    3.2   14.3    0.0    0.0    0.0    0.0    0.0   44.5 1007.1 1010.7    2.4
202604201645   100  277.6   10.5  270.2   13.9  274.0   10.7   11.8    0.0    0.0    0.0    0.2    0.2   83.7  916.6 1004.4    9.1
202604201645   101  211.1    0.5  170.2    2.8  184.3    2.8   14.9    0.0    0.0    0.0    2.0    2.0   74.4  998.6 1007.6   10.4
202604201645   102  291.8    6.6  292.7   10.3  296.4    6.8    9.9    0.0    0.0    0.0    0.0    0.0   55.9 1008.1 1012.5    1.5
202604201645   104  258.2    3.2  241.1    7.2  242.1    4.9   19.7    0.0    0.0    0.0    0.0    0.0   56.8  994.1 1002.8   10.9
202604201645   105  245.6    3.1  267.9    4.5  247.4    3.8   20.5    0.0    0.0    0.0    0.0    0.0   51.7 1001.4 1004.5   10.2
202604201645   106  243.0    1.3  311.0    2.4  239.2    4.0   21.7    0.0    0.0    0.0    0.0    0.0   47.4 1000.0 1004.7   10.0
202604201645   108  223.7    3.9  210.6    5.4  208.7    4.2   14.1    0.0    0.0    0.0    0.8    0.8   60.8  999.9 1010.1    6.6
202604201645   110  260.0    5.3  290.0    7.4  260.0    6.4   14.2  -99.7    0.0    0.0    0.3    0.3   56.0 1008.5 1010.7    5.6
202604201645   112  248.0    4.5  266.8    5.8  272.2    4.1   12.9    0.0    0.0    0.0    0.0    0.0   50.7 1002.5 1010.7    2.9
202604201645   113  270.0    9.5  280.0   12.1  270.0    8.5   12.0  -99.7    0.0    0.0    0.0    0.0   54.0 1010.8 1011.6    3.0
202604201645   114  227.0    4.3  226.0    5.4  240.1    3.7   13.3    0.0    0.0    0.0    1.3    1.3   81.3  991.7 1009.5   10.2
202604201645   115  227.0   10.9  228.9   13.0  229.1    8.7   16.3    0.0    0.0    0.0    0.0    0.0   87.6  979.6 1005.3   14.2
202604201645   116  281.0    0.6   90.0    2.0  268.4    0.7    8.7    0.0    0.0    0.0    0.0    0.0   68.7  937.0 1010.0    3.3
202604201645   119  270.7    3.7  250.5    7.0  264.6    4.6   11.8    0.0    0.0    0.0    0.3    0.3   59.1 1006.1 1010.9    4.1
202604201645   121  269.1    3.3  231.5    4.2  255.8    2.7   15.2    1.0    0.0    0.1    0.1    0.1   79.4  980.2 1008.3   11.7
202604201645   127  265.5    2.2  278.6    3.1  252.2    2.9   13.3    0.0    0.0    0.1    1.6    1.6   79.1  995.7 1009.3    9.8
