#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 0이 아니면-강수) 
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202604201644   152  286.1    2.9  303.0    3.0  284.2    2.7   20.1    0.0    0.0    0.0    0.0    0.0   71.4  997.5 1006.9   14.8
202604201644   155  208.0    1.3  238.0    1.8  197.0    1.9   20.7    0.0    0.0    0.0    0.0    0.0   70.2 1004.5 1008.6   15.1
202604201644   156  273.2    2.8  258.9    4.0  249.3    2.3   13.0    0.0    0.0    0.0    0.0    0.0   82.4 1003.5 1011.9   10.1
202604201644   159  259.3    5.6  270.2    6.9  271.5    5.7   19.2  -99.2    0.0    0.0    0.0    0.0   71.3 1000.2 1008.3   13.9
202604201644   160  288.5    0.7  301.4    1.5  271.8    1.3   15.2    0.0    0.0    0.0    0.0    0.0   90.9  949.8 1008.5   13.7
202604201644   162  255.1    3.6  248.8    5.1  256.3    4.1   19.5    0.0    0.0    0.0    0.0    0.0   69.1 1004.9 1008.5   13.7
202604201644   163  340.0    6.0  360.0    8.6  340.0    6.4   11.4  -99.7    0.0    0.0    0.0    0.0   83.0 1013.1 1014.2    8.6
202604201644   165  267.0    7.4  349.5   10.0  321.7    8.6   10.9    0.0    0.0    0.0    0.0    0.0   77.5 1008.4 1013.8    7.1
202604201644   167  320.0    4.3  340.0    5.4  310.0    4.6   19.8  -99.7    0.0    0.0    0.0    0.0   68.0 1009.5 1010.6   13.7
202604201644   168  303.6    8.2  315.1   10.3  298.0    6.8   19.7    0.0    0.0    0.0    0.0    0.0   65.2 1002.3 1010.0   13.0
202604201644   169  335.0   10.1  347.0   12.0  336.7   10.7   11.1    0.0    0.0    0.0    0.0    0.0   82.5 1005.3 1014.4    8.2
202604201644   170  296.0    5.9  331.0    8.4  293.1    5.5   15.5    0.0    0.0    0.0    0.0    0.0   74.3 1007.9 1012.1   11.0
202604201644   172  310.2    4.9  310.4    5.9  307.1    4.7   10.1    0.0    0.0    0.0    0.3    0.3   92.6 1007.5 1013.9    9.0
202604201644   174  312.1    3.2  311.5    5.2  315.2    3.9   15.5    0.0    0.0    0.0    0.3    0.3   79.3  990.3 1009.7   11.9
202604201644   175  332.3    9.3  320.8   11.4  328.5    9.3    8.1    0.0    0.0    0.0    0.0    0.0   99.9  957.1 1013.9    8.1
202604201644   177  249.0    3.7  238.1    5.7  238.2    3.6   12.4    0.0    0.0    0.0    0.1    0.1   49.4 1007.7 1011.0    2.1
202604201644   181  259.5    1.3  245.4    3.1  286.4    2.2   13.2    0.0    0.0    0.0    0.2    0.2   75.4 1007.1 1011.1    8.9
202604201644   182  270.0    2.2  300.0    3.1  290.0    3.9   13.5  -99.7    0.0    0.0    0.0    0.0   91.0 1011.2 1014.2   12.1
202604201644   184  277.8    4.1  276.3    4.9  297.5    3.7   14.0    0.0    0.0    0.6    0.6    0.6   89.9 1011.0 1013.5   12.4
202604201644   185  347.2    9.2  340.1   13.0  336.6   11.4   12.9    0.0    0.0    0.0    0.0    0.0   87.9 1004.8 1013.4   10.9
202604201644   188  187.2    2.5  282.9    6.3  284.8    5.6   18.3    0.0    0.0    0.0    1.2    1.2   76.0 1009.8 1012.2   14.0
202604201644   189   27.0    2.1   61.0    3.7   31.1    2.1   22.1    0.0    0.0    0.0    0.0    0.0   63.0 1005.4 1011.4   14.7
202604201644   192  239.1    2.8  247.6    4.0  240.6    2.3   20.4    0.0    0.0    0.0    0.0    0.0   60.3 1005.7 1009.1   12.5
202604201644   201  250.1    3.6  264.6    5.3  259.4    4.3   13.9    0.0    0.0    0.0    0.1    0.1   34.7 1005.5 1011.2   -1.4
202604201644   202  266.8    2.2  267.3    3.8  255.5    3.3   13.8    0.0    0.0    0.0    0.2    0.2   69.6 1004.0 1009.6    8.3
202604201644   203  198.1    4.9  191.3    5.8  216.1    2.4   13.5    0.0    0.0    0.0    0.1    0.1   76.1 1000.9 1010.4    9.4
202604201644   211  187.7    2.4  199.8    3.6  185.0    3.4   14.7    0.0    0.0    0.0    2.0    2.0   73.0  982.8 1006.5    9.9
202604201644   212  217.2    1.7  216.6    2.9  225.9    1.9   14.9    0.0    0.0    0.0    0.2    0.2   69.1  991.9 1008.4    9.3
202604201644   216  217.0    2.7  287.0    4.7  194.0    2.2   14.6    1.0    0.0    0.0    0.0    0.0   71.0  924.5 1005.3    9.4
202604201644   217  180.7    3.4  190.9    5.0  187.0    3.7   14.9    0.0    0.0    0.2    0.2    0.2   73.7  970.9 1007.2   10.2
202604201644   221  267.9    3.8  275.7    6.0  248.4    4.1   13.2    0.0    0.0    0.4    1.3    1.3   80.9  977.8 1008.9   10.0
202604201644   226  297.9    3.3  281.5    4.6  297.7    2.3   14.0    0.0    0.0    0.2    0.5    0.5   84.1  990.2 1010.4   11.4
202604201644   229  308.3   12.3  302.3   14.3  307.3   11.8    8.2    0.0    0.0    0.0    0.0    0.0   54.1 1000.0 1012.7   -0.5
202604201644   230  282.4    8.5  280.0   11.3  278.7    7.8    9.8    0.0    0.0    0.0    0.0    0.0   62.4 1011.9 1013.4    3.0
202604201644   232  264.5    4.3  261.7    6.1  265.6    2.4   11.7    0.0    0.0    0.0    0.4    0.4   78.7 1001.5 1011.7    8.1
202604201644   235  324.0    1.4   78.0    4.4  326.0    1.1   10.5    0.0    0.0    0.0    0.3    0.3   70.7 1011.8 1013.0    5.4
202604201644   236  282.4    2.9  304.0    3.8  262.0    2.3   12.8    0.0    0.0    0.0    0.0    0.0   57.0 1011.1 1012.7    4.5
202604201644   238  246.3    2.2  258.8    4.2  239.2    1.9   13.5    0.0    0.0    0.0    0.5    0.5   86.7  990.4 1010.5   11.3
202604201644   239   89.0    0.8  107.6    1.5  223.3    1.4   11.9    0.0    0.0    0.0    0.2    0.2   81.7 1000.4 1011.1    8.9
202604201644   243  296.3    3.5  301.2    5.5  300.6    3.5   10.6    0.0    0.0    0.0    0.2    0.2   70.3 1012.8 1014.3    5.4
202604201644   244  340.9    3.1  346.2    4.8  346.1    2.4   11.5    0.0    0.0    0.0    0.0    0.0   84.1  982.8 1012.2    8.9
202604201644   245  316.0    3.5  335.0    4.3  333.9    3.6   10.5    0.0    0.0    0.0    0.3    0.3   80.2 1005.8 1014.1    7.2
202604201644   247  322.4    1.4  320.8    2.4  320.8    1.7   13.4    0.0    0.0    0.0    0.0    0.0   77.2  995.8 1011.7    9.5
202604201644   248    3.0    1.6  346.2    2.5  313.2    2.0   13.2    0.0    0.0    0.0    0.0    0.0   88.5  963.7 1011.2   11.3
202604201644   251  318.1    4.1  326.5    5.6  311.5    3.4   11.1    0.0    0.0    0.0    0.8    0.8   82.8 1006.5 1013.6    8.3
202604201644   252  338.3    3.2  320.6    5.9  337.2    3.3   10.1    0.0    0.0    0.0    0.0    0.0   77.9 1009.9 1014.4    6.4
202604201644   253  256.0    1.9  244.8    2.9  258.1    2.5   20.6    0.0    0.0    0.0    0.0    0.0   68.7 1002.7 1009.0   14.7
202604201644   254  290.5    3.7  304.3    4.9  328.9    3.5   12.8    0.0    0.0    0.0    0.0    0.0   75.6  997.3 1012.7    8.6
202604201644   255  176.6    1.2  175.8    2.3  185.6    1.4   19.4    1.0    0.0    0.0    0.0    0.0   79.7 1002.4 1008.3   15.8
202604201644   257  206.7    3.6  203.2    4.7  208.8    3.3   20.6    0.0    0.0    0.0    0.0    0.0   74.0 1006.7 1007.4   15.8
202604201644   258  295.1    4.9  300.5    7.5  298.2    4.5   17.1    0.0    0.0    0.0    0.0    0.0   80.8 1011.4 1011.6   13.8
202604201644   259  286.1    4.0  267.3    5.2  281.5    3.4   14.5    0.0    0.0    0.0    0.0    0.0   77.4 1010.6 1012.5   10.6
202604201644   260   17.6    3.2   48.5    4.2   49.6    3.3   15.0    0.0    0.0    0.0    0.0    0.0   85.4 1006.8 1012.0   12.6
202604201644   261  289.1    5.1  294.6    6.8  295.1    4.9   12.2    0.0    0.0    0.0    0.0    0.0   87.3 1012.1 1014.1   10.2
202604201644   262  313.0    3.4    4.0    6.2   51.1    1.8   17.7    0.0    0.0    0.0    0.0    0.0   76.3 1005.0 1011.1   13.5
202604201644   263  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.2  -99.9  -99.9  -99.9  -99.9
202604201644   264  312.9    4.7  338.1    6.2  329.7    3.8   16.2    1.0  -99.9  -99.9  -99.9  -99.2   72.2  993.0 1010.8   11.2
202604201644   266  272.1    2.7  273.5    5.5  267.5    4.0   19.5    0.0    0.0    0.0    0.0    0.0   73.0 1000.1 1010.4   14.5
202604201644   268  314.0    3.4  326.2    5.2  319.3    4.1   12.0    0.0    0.0    0.0    0.0    0.0   79.9 1011.9 1013.1    8.6
202604201644   269   62.9    1.9   27.1    4.0   48.3    1.8    9.9    0.0    0.0    0.0    0.3    0.3   84.7 1011.4 1014.8    7.4
