#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 0이 아니면-강수) 
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202604201646    90  274.0    5.5  328.0    9.1  277.2    5.3   20.8    0.0    0.0    0.0    0.1    0.1   46.6 1000.9 1002.9    9.0
202604201646    92  280.0    9.3  300.0   14.1  270.0    9.1   19.5  -99.7    0.0    0.0    0.0    0.0   52.0  995.6 1003.2    9.4
202604201646    93  194.5    4.6  188.6    7.0  183.7    4.5   14.3    0.0    0.0    0.0    2.3    2.3   80.8  997.2 1008.5   11.0
202604201646    95  230.7    1.5  230.0    2.2  257.0    1.3   14.1    0.0    0.0    0.0    0.4    0.4   61.0  990.9 1009.3    6.7
202604201646    96  197.8    4.2  224.4   10.6  217.4    6.5   16.2  -99.2    0.0    0.0    0.0    0.0   91.8  994.4 1006.0   14.9
202604201646    98  246.6    4.8  197.0    7.1  258.4    4.2   14.7    0.0    0.0    0.0    0.5    0.5   38.4  996.0 1009.7    0.7
202604201646    99  350.0    3.6    2.7    4.8  341.9    3.2   14.3    0.0    0.0    0.0    0.0    0.0   44.3 1007.0 1010.6    2.3
202604201646   100  268.1    9.3  247.6   13.3  273.0   10.9   11.8    0.0    0.0    0.0    0.2    0.2   84.1  916.7 1004.5    9.2
202604201646   101  151.8    0.9  125.4    2.6  177.0    2.5   14.9    0.0    0.0    0.0    2.0    2.0   74.3  998.6 1007.6   10.4
202604201646   102  298.5    5.6  284.2   10.0  297.1    6.4    9.8    0.0    0.0    0.0    0.0    0.0   55.8 1008.1 1012.5    1.4
202604201646   104  191.7    3.4  261.1    4.8  240.3    5.0   19.7    0.0    0.0    0.0    0.0    0.0   57.2  994.1 1002.8   11.0
202604201646   105  227.3    5.8  217.2    9.6  243.3    4.2   20.5    0.0    0.0    0.0    0.0    0.0   51.8 1001.5 1004.6   10.3
202604201646   106  239.0    2.0  251.0    2.5  240.6    3.5   21.8    0.0    0.0    0.0    0.0    0.0   47.2 1000.0 1004.7   10.1
202604201646   108  227.2    4.1  212.5    5.3  210.3    4.1   14.2    0.0    0.0    0.0    0.8    0.8   60.5  999.9 1010.1    6.7
202604201646   110  270.0    6.0  290.0    8.3  260.0    6.4   14.3  -99.7    0.0    0.0    0.3    0.3   56.0 1008.6 1010.7    5.6
202604201646   112  289.0    5.1  257.9    7.4  277.6    4.1   12.8    0.0    0.0    0.0    0.0    0.0   51.7 1002.5 1010.8    3.1
202604201646   113  270.0    8.4  290.0   10.8  270.0    8.6   12.1  -99.7    0.0    0.0    0.0    0.0   55.0 1010.8 1011.7    3.3
202604201646   114  230.2    4.4  246.2    6.7  237.9    3.7   13.3    0.0    0.0    0.0    1.3    1.3   80.8  991.6 1009.4   10.1
202604201646   115  233.0    9.4  240.8   12.6  230.8    8.6   16.3    0.0    0.0    0.0    0.0    0.0   87.6  979.7 1005.4   14.2
202604201646   116  261.0    0.7   77.0    3.4  268.4    0.7    8.8    0.0    0.0    0.0    0.0    0.0   68.1  937.0 1009.9    3.2
202604201646   119  302.7    6.2  263.8    7.6  266.4    4.6   11.8    0.0    0.0    0.0    0.3    0.3   59.8 1006.1 1010.9    4.2
202604201646   121  241.6    3.1  225.4    5.8  252.9    2.8   15.2    1.0    0.0    0.1    0.1    0.1   77.6  980.2 1008.3   11.3
